,month,week,hour,access_count
214,7,Friday,1,20
215,7,Friday,0,27
216,6,Wednesday,23,69
217,6,Wednesday,22,182
218,6,Wednesday,21,322
219,6,Wednesday,20,253
220,6,Wednesday,19,259
221,6,Wednesday,18,369
222,6,Wednesday,17,355
223,6,Wednesday,16,307
224,6,Wednesday,15,423
225,6,Wednesday,14,278
226,6,Wednesday,13,122
227,6,Wednesday,12,51
228,6,Wednesday,11,114
229,6,Wednesday,10,204
230,6,Wednesday,9,292
231,6,Wednesday,8,470
232,6,Wednesday,7,544
233,6,Wednesday,6,466
234,6,Wednesday,5,198
235,6,Wednesday,4,32
236,6,Wednesday,2,10
237,6,Wednesday,1,7
238,6,Wednesday,0,15
239,6,Tuesday,23,94
240,6,Tuesday,22,274
241,6,Tuesday,21,379
242,6,Tuesday,20,401
243,6,Tuesday,19,398
244,6,Tuesday,18,380
245,6,Tuesday,17,439
246,6,Tuesday,16,405
247,6,Tuesday,15,501
248,6,Tuesday,14,424
249,6,Tuesday,13,132
250,6,Tuesday,12,67
251,6,Tuesday,11,136
252,6,Tuesday,10,296
253,6,Tuesday,9,402
254,6,Tuesday,8,597
255,6,Tuesday,7,677
256,6,Tuesday,6,683
257,6,Tuesday,5,270
258,6,Tuesday,4,33
259,6,Tuesday,3,5
260,6,Tuesday,2,7
261,6,Tuesday,1,15
262,6,Tuesday,0,27
263,6,Thursday,23,57
264,6,Thursday,22,193
265,6,Thursday,21,273
266,6,Thursday,20,336
267,6,Thursday,19,415
268,6,Thursday,18,276
269,6,Thursday,17,312
270,6,Thursday,16,296
271,6,Thursday,15,257
272,6,Thursday,14,205
273,6,Thursday,13,97
274,6,Thursday,12,45
275,6,Thursday,11,153
276,6,Thursday,10,246
277,6,Thursday,9,327
278,6,Thursday,8,478
279,6,Thursday,7,556
280,6,Thursday,6,533
281,6,Thursday,5,229
282,6,Thursday,4,32
283,6,Thursday,3,9
284,6,Thursday,2,4
285,6,Thursday,1,12
286,6,Thursday,0,18
287,6,Sunday,23,97
288,6,Sunday,22,234
289,6,Sunday,21,318
290,6,Sunday,20,200
291,6,Sunday,19,156
